Polling_firm,PollDate,LPC,CPC,NDP,BQ,GPC,PPC,SampleSize,mode,NumDays,Other,pollster_id,mode_id
Nanos Research,2020-04-03,0.389,0.29100000000000004,0.14800000000000002,0.084,0.065,0.011000000000000001,1000,IVR,166,0.0119999999999999,2,1
Innovative Research,2020-04-02,0.4,0.27,0.15,0.08,0.07,0.02,2059,IVR,165,0.010000000000000009,7,1
Nanos Research,2020-03-27,0.361,0.309,0.166,0.07,0.07,0.008,1000,IVR,159,0.016000000000000014,2,1
EKOS,2020-03-26,0.40399999999999997,0.28600000000000003,0.122,0.086,0.059000000000000004,0.022000000000000002,2304,online,158,0.02100000000000002,5,2
Nanos Research,2020-03-20,0.348,0.325,0.174,0.06,0.07,0.013000000000000001,1000,IVR,152,0.009999999999999898,2,1
Mainstreet Research,2020-03-17,0.386,0.322,0.111,0.08800000000000001,0.057,0.017,1665,online,149,0.019000000000000017,1,2
Nanos Research,2020-03-13,0.37,0.295,0.17600000000000002,0.059000000000000004,0.07400000000000001,0.018000000000000002,1000,IVR,145,0.007999999999999785,2,1
Nanos Research,2020-03-06,0.348,0.324,0.171,0.057999999999999996,0.07400000000000001,0.018000000000000002,1000,IVR,138,0.006999999999999895,2,1
Nanos Research,2020-02-28,0.353,0.35100000000000003,0.15,0.059000000000000004,0.065,0.016,1000,IVR,131,0.006000000000000005,2,1
Nanos Research,2020-02-21,0.33,0.36200000000000004,0.154,0.068,0.066,0.013999999999999999,1000,IVR,124,0.005999999999999783,2,1
Nanos Research,2020-02-14,0.327,0.361,0.155,0.071,0.07,0.011000000000000001,1000,IVR,117,0.0050000000000000044,2,1
Nanos Research,2020-02-07,0.33399999999999996,0.355,0.13699999999999998,0.078,0.08,0.01,1000,IVR,110,0.006000000000000116,2,1
Nanos Research,2020-01-31,0.332,0.331,0.16399999999999998,0.077,0.079,0.011000000000000001,1000,IVR,103,0.006000000000000116,2,1
Nanos Research,2020-01-24,0.33799999999999997,0.31,0.16699999999999998,0.083,0.08900000000000001,0.009000000000000001,1000,IVR,96,0.004000000000000115,2,1
Abacus Data,2020-01-17,0.34,0.3,0.17,0.06,0.08,0.03,1500,IVR,89,0.019999999999999907,3,1
Mainstreet Research,2020-01-17,0.39799999999999996,0.324,0.106,0.066,0.054000000000000006,0.027999999999999997,1470,online,89,0.02400000000000002,1,2
Nanos Research,2020-01-17,0.341,0.308,0.16399999999999998,0.081,0.086,0.012,1000,IVR,89,0.008000000000000118,2,1
Nanos Research,2020-01-10,0.322,0.315,0.17800000000000002,0.081,0.081,0.017,1000,IVR,82,0.006000000000000005,2,1
Nanos Research,2020-01-03,0.337,0.313,0.17,0.071,0.08800000000000001,0.013999999999999999,1000,IVR,75,0.007000000000000006,2,1
Nanos Research,2019-12-27,0.34700000000000003,0.314,0.16399999999999998,0.063,0.08800000000000001,0.017,1000,IVR,68,0.007000000000000117,2,1
Nanos Research,2019-12-20,0.34700000000000003,0.29600000000000004,0.177,0.06,0.098,0.013999999999999999,1000,IVR,61,0.007999999999999896,2,1
Abacus Data,2019-12-16,0.33,0.3,0.18,0.07,0.08,0.02,1500,IVR,57,0.019999999999999907,3,1
Nanos Research,2019-12-13,0.33799999999999997,0.305,0.187,0.05,0.102,0.009000000000000001,1000,IVR,54,0.008999999999999897,2,1
EKOS,2019-12-10,0.311,0.29600000000000004,0.168,0.057999999999999996,0.098,0.042,2339,online,51,0.027000000000000024,5,2
Nanos Research,2019-12-06,0.336,0.31,0.175,0.067,0.098,0.006,1000,IVR,47,0.008000000000000118,2,1
Nanos Research,2019-11-29,0.341,0.313,0.171,0.064,0.095,0.008,1000,IVR,40,0.008000000000000007,2,1
Leger,2019-11-25,0.32,0.3,0.19,0.07,0.07,0.03,3040,IVR,36,0.019999999999999796,4,1
Nanos Research,2019-11-22,0.337,0.309,0.172,0.068,0.09300000000000001,0.013999999999999999,1000,IVR,33,0.006999999999999895,2,1
Nanos Research,2019-11-15,0.32799999999999996,0.308,0.19,0.076,0.073,0.019,1000,IVR,26,0.006000000000000227,2,1
Nanos Research,2019-11-08,0.318,0.313,0.19899999999999998,0.069,0.076,0.021,1000,IVR,19,0.0040000000000000036,2,1
Nanos Research,2019-11-01,0.311,0.325,0.19,0.067,0.085,0.018000000000000002,1000,IVR,12,0.0040000000000000036,2,1
